shortname,longname,icon
homm5,Heroes of Might and Magic V,http://media.xfire.com/xfire/xf/images/icons/homm5.gif
homm5hof,Heroes of Might and Magic V - Hammers of Fate,http://media.xfire.com/xfire/xf/images/icons/homm5hof.gif
homm5b,Heroes of Might and Magic V Beta,http://media.xfire.com/xfire/xf/images/icons/homm5b.gif
homm5d,Heroes of Might and Magic V Demo,http://media.xfire.com/xfire/xf/images/icons/homm5d.gif
hotp,Heroes of the Pacific,http://media.xfire.com/xfire/xf/images/icons/hotp.gif
hnd,Hidden & Dangerous,http://media.xfire.com/xfire/xf/images/icons/hnd.gif
hnd2,Hidden & Dangerous 2,http://media.xfire.com/xfire/xf/images/icons/hnd2.gif
hnd2ss,Hidden & Dangerous 2 Sabre Squadron,http://media.xfire.com/xfire/xf/images/icons/hnd2ss.gif
hl2hs,Hidden: Source,http://media.xfire.com/xfire/xf/images/icons/hl2hs.gif
htmnc47,Hitman - Codename 47,http://media.xfire.com/xfire/xf/images/icons/htmnc47.gif
htmn2,Hitman 2 - Silent Assassin,http://media.xfire.com/xfire/xf/images/icons/htmn2.gif
htmnbm,Hitman Blood Money,http://media.xfire.com/xfire/xf/images/icons/htmnbm.gif
htmncon,Hitman Contracts,http://media.xfire.com/xfire/xf/images/icons/htmncon.gif
hw,Homeworld,http://media.xfire.com/xfire/xf/images/icons/hw.gif
hw2,Homeworld 2,http://media.xfire.com/xfire/xf/images/icons/hw2.gif
hcat,Homeworld Cataclysm,http://media.xfire.com/xfire/xf/images/icons/hcat.gif
ho,Horizons Online,http://media.xfire.com/xfire/xf/images/icons/ho.gif
idale,Icewind Dale,http://media.xfire.com/xfire/xf/images/icons/idale.gif
idalehw,Icewind Dale - Heart of Winter,http://media.xfire.com/xfire/xf/images/icons/idalehw.gif
gunzna,ijji GunZ,http://media.xfire.com/xfire/xf/images/icons/gunzna.gif
il2fb,IL-2 Sturmovik - Forgotten Battles,http://media.xfire.com/xfire/xf/images/icons/il2fb.gif
cotn,Immortal Cities: Children of The Nile,http://media.xfire.com/xfire/xf/images/icons/cotn.gif
ig,Imperial Glory,http://media.xfire.com/xfire/xf/images/icons/ig.gif
indigop,Indigo Prophecy,http://media.xfire.com/xfire/xf/images/icons/indigop.gif
irnstrm,Iron Storm,http://media.xfire.com/xfire/xf/images/icons/irnstrm.gif
jempire,Jade Empire,http://media.xfire.com/xfire/xf/images/icons/jempire.gif
bondnf,James Bond 007 Nightfire,http://media.xfire.com/xfire/xf/images/icons/bondnf.gif
jamp,Jedi Academy Multiplayer,http://media.xfire.com/xfire/xf/images/icons/jamp.gif
jasp,Jedi Academy Single Player,http://media.xfire.com/xfire/xf/images/icons/jasp.gif
jk,Jedi Knight,http://media.xfire.com/xfire/xf/images/icons/jk.gif
jk2mp,Jedi Knight II Multiplayer,http://media.xfire.com/xfire/xf/images/icons/jk2mp.gif
jk2sp,Jedi Knight II Single Player,http://media.xfire.com/xfire/xf/images/icons/jk2sp.gif
jdaf,John Deere American Farmer,http://media.xfire.com/xfire/xf/images/icons/jdaf.gif
jdnaf,John Deere North American Farmer,http://media.xfire.com/xfire/xf/images/icons/jdnaf.gif
jopse,Joint Operations: Escalation,http://media.xfire.com/xfire/xf/images/icons/jopse.gif
jops,Joint Operations: Typhoon Rising,http://media.xfire.com/xfire/xf/images/icons/jops.gif
jtf,Joint Task Force,http://media.xfire.com/xfire/xf/images/icons/jtf.gif
juiced,Juiced,http://media.xfire.com/xfire/xf/images/icons/juiced.gif
justc,Just Cause,http://media.xfire.com/xfire/xf/images/icons/justc.gif
jxo,JX Online,http://media.xfire.com/xfire/xf/images/icons/jxo.gif
kalo,Kal Online,http://media.xfire.com/xfire/xf/images/icons/kalo.gif
karma,Karma Online,http://media.xfire.com/xfire/xf/images/icons/karma.gif
ks,Kill.Switch,http://media.xfire.com/xfire/xf/images/icons/ks.gif
kingpin,Kingpin Life of Crime,http://media.xfire.com/xfire/xf/images/icons/kingpin.gif
ko,Knight Online,http://media.xfire.com/xfire/xf/images/icons/ko.gif
kohan2,Kohan II Kings of War,http://media.xfire.com/xfire/xf/images/icons/kohan2.gif
hl2kc,Kreedz Climbing,http://media.xfire.com/xfire/xf/images/icons/hl2kc.gif
kw,KumaWar,http://media.xfire.com/xfire/xf/images/icons/kw.gif
lotd,Land of the Dead,http://media.xfire.com/xfire/xf/images/icons/lotd.gif
lom,Legends of Mir,http://media.xfire.com/xfire/xf/images/icons/lom.gif
lom2,Legends of Mir II,http://media.xfire.com/xfire/xf/images/icons/lom2.gif
lom3,Legends of Mir III,http://media.xfire.com/xfire/xf/images/icons/lom3.gif
larena,Legion Arena,http://media.xfire.com/xfire/xf/images/icons/larena.gif
legosw,Lego Star Wars,http://media.xfire.com/xfire/xf/images/icons/legosw.gif
legosw2,Lego Star Wars II,http://media.xfire.com/xfire/xf/images/icons/legosw2.gif
lslmcl,Leisure Suit Larry - Magna Cum Laude,http://media.xfire.com/xfire/xf/images/icons/lslmcl.gif
lrsbs,Let's Ride! - Silver Buckle Stables,http://media.xfire.com/xfire/xf/images/icons/lrsbs.gif
lineage,Lineage,http://media.xfire.com/xfire/xf/images/icons/lineage.gif
lin2,Lineage II,http://media.xfire.com/xfire/xf/images/icons/lin2.gif
lfs,Live for Speed,http://media.xfire.com/xfire/xf/images/icons/lfs.gif
lomac,Lock On,http://media.xfire.com/xfire/xf/images/icons/lomac.gif
loco,Locomotion,http://media.xfire.com/xfire/xf/images/icons/loco.gif
rotk,LOTR Return of the King,http://media.xfire.com/xfire/xf/images/icons/rotk.gif
mabi,Mabinogi,http://media.xfire.com/xfire/xf/images/icons/mabi.gif
mddn2k4,Madden 2004,http://media.xfire.com/xfire/xf/images/icons/mddn2k4.gif
mddn2k5,Madden 2005,http://media.xfire.com/xfire/xf/images/icons/mddn2k5.gif
mddn2k6,Madden 2006,http://media.xfire.com/xfire/xf/images/icons/mddn2k6.gif
mddn2k7,Madden 2007,http://media.xfire.com/xfire/xf/images/icons/mddn2k7.gif
maelstrom,Maelstrom,http://media.xfire.com/xfire/xf/images/icons/maelstrom.gif
mafia,Mafia,http://media.xfire.com/xfire/xf/images/icons/mafia.gif
mka,Mage Knight Apocalypse,http://media.xfire.com/xfire/xf/images/icons/mka.gif
mtgo,Magic Online,http://media.xfire.com/xfire/xf/images/icons/mtgo.gif
mtcoon,Mall Tycoon,http://media.xfire.com/xfire/xf/images/icons/mtcoon.gif
mtcoon2,Mall Tycoon 2,http://media.xfire.com/xfire/xf/images/icons/mtcoon2.gif
mtcoon3,Mall Tycoon 3,http://media.xfire.com/xfire/xf/images/icons/mtcoon3.gif
mame32,MAME32,http://media.xfire.com/xfire/xf/images/icons/mame32.gif
mhnt,Manhunt,http://media.xfire.com/xfire/xf/images/icons/mhnt.gif
mpls,MapleStory,http://media.xfire.com/xfire/xf/images/icons/mpls.gif
getup,Marc Ecko's Getting Up - Contents Under Pressure,http://media.xfire.com/xfire/xf/images/icons/getup.gif
mua,Marvel Ultimate Alliance,http://media.xfire.com/xfire/xf/images/icons/mua.gif
maxp,Max Payne,http://media.xfire.com/xfire/xf/images/icons/maxp.gif
maxp2,Max Payne 2,http://media.xfire.com/xfire/xf/images/icons/maxp2.gif
mw3,MechWarrior 3,http://media.xfire.com/xfire/xf/images/icons/mw3.gif
mw4bk,MechWarrior 4 Black Knight,http://media.xfire.com/xfire/xf/images/icons/mw4bk.gif
mw4v,MechWarrior 4 Vengeance,http://media.xfire.com/xfire/xf/images/icons/mw4v.gif
mwm,MechWarrior Mercenaries,http://media.xfire.com/xfire/xf/images/icons/mwm.gif
mohaa,Medal of Honor Allied Assault,http://media.xfire.com/xfire/xf/images/icons/mohaa.gif
mohaab,Medal of Honor Allied Assault - Breakthrough,http://media.xfire.com/xfire/xf/images/icons/mohaab.gif
mohaas,Medal of Honor Allied Assault - Spearhead,http://media.xfire.com/xfire/xf/images/icons/mohaas.gif
mohpa,Medal of Honor Pacific Assault,http://media.xfire.com/xfire/xf/images/icons/mohpa.gif
mohpad,Medal of Honor Pacific Assault MP Demo,http://media.xfire.com/xfire/xf/images/icons/mohpad.gif
mtw,Medieval - Total War,http://media.xfire.com/xfire/xf/images/icons/mtw.gif
m2tw,Medieval II Total War,http://media.xfire.com/xfire/xf/images/icons/m2tw.gif
m2twd,Medieval II Total War Demo SE,http://media.xfire.com/xfire/xf/images/icons/m2twd.gif
mov,Men of Valor,http://media.xfire.com/xfire/xf/images/icons/mov.gif
movmpd,Men of Valor MP Demo,http://media.xfire.com/xfire/xf/images/icons/movmpd.gif
m59,Meridian 59,http://media.xfire.com/xfire/xf/images/icons/m59.gif
mgs2s,Metal Gear Solid2 Substance,http://media.xfire.com/xfire/xf/images/icons/mgs2s.gif
fsx,Microsoft Flight Simulator X,http://media.xfire.com/xfire/xf/images/icons/fsx.gif
mc2,Midnight Club 2,http://media.xfire.com/xfire/xf/images/icons/mc2.gif
mmad,Midtown Madness,http://media.xfire.com/xfire/xf/images/icons/mmad.gif
mmad2,Midtown Madness 2,http://media.xfire.com/xfire/xf/images/icons/mmad2.gif
winmine,Minesweeper,http://media.xfire.com/xfire/xf/images/icons/winmine.gif
mojom,Mojo Master,http://media.xfire.com/xfire/xf/images/icons/mojom.gif
mtycoon,Monopoly Tycoon,http://media.xfire.com/xfire/xf/images/icons/mtycoon.gif
mtmad2,Monster Truck Madness 2,http://media.xfire.com/xfire/xf/images/icons/mtmad2.gif
morwnd,Morrowind,http://media.xfire.com/xfire/xf/images/icons/morwnd.gif
mortyr2,Mortyr 2,http://media.xfire.com/xfire/xf/images/icons/mortyr2.gif
mcmad2,Motocross Madness 2,http://media.xfire.com/xfire/xf/images/icons/mcmad2.gif
mgp2,MotoGP 2,http://media.xfire.com/xfire/xf/images/icons/mgp2.gif
mgp3,MotoGP URT 3,http://media.xfire.com/xfire/xf/images/icons/mgp3.gif
mu,Mu Online,http://media.xfire.com/xfire/xf/images/icons/mu.gif
mvpb05,MVP Baseball 2005,http://media.xfire.com/xfire/xf/images/icons/mvpb05.gif
mxvsatv,MX vs ATV Unleashed,http://media.xfire.com/xfire/xf/images/icons/mxvsatv.gif
mxvsatvd,MX vs ATV Unleashed Demo,http://media.xfire.com/xfire/xf/images/icons/mxvsatvd.gif
myst,Myst,http://media.xfire.com/xfire/xf/images/icons/myst.gif
myst3,Myst III Exile,http://media.xfire.com/xfire/xf/images/icons/myst3.gif
myst4,Myst IV Revelation,http://media.xfire.com/xfire/xf/images/icons/myst4.gif
myst5,Myst V End of Ages,http://media.xfire.com/xfire/xf/images/icons/myst5.gif
mythos,Mythos,http://media.xfire.com/xfire/xf/images/icons/mythos.gif
nascar2k3,Nascar Racing 2003 Season,http://media.xfire.com/xfire/xf/images/icons/nascar2k3.gif
nascar3,Nascar Racing 3,http://media.xfire.com/xfire/xf/images/icons/nascar3.gif
nascar4,Nascar Racing 4,http://media.xfire.com/xfire/xf/images/icons/nascar4.gif
nascarsr,Nascar SimRacing,http://media.xfire.com/xfire/xf/images/icons/nascarsr.gif
ns,Natural Selection,http://media.xfire.com/xfire/xf/images/icons/ns.gif
nf,NavyField,http://media.xfire.com/xfire/xf/images/icons/nf.gif
nbal06,NBA Live 06,http://media.xfire.com/xfire/xf/images/icons/nbal06.gif
nbal07,NBA Live 07,http://media.xfire.com/xfire/xf/images/icons/nbal07.gif
nbal2k5,NBA Live 2005,http://media.xfire.com/xfire/xf/images/icons/nbal2k5.gif
ncaacr06,NCAA Championship Run 2006,http://media.xfire.com/xfire/xf/images/icons/ncaacr06.gif
nfsc,Need for Speed Carbon,http://media.xfire.com/xfire/xf/images/icons/nfsc.gif
nfscd,Need for Speed Carbon Demo,http://media.xfire.com/xfire/xf/images/icons/nfscd.gif
nfshs,Need for Speed High Stakes,http://media.xfire.com/xfire/xf/images/icons/nfshs.gif
nfshp2,Need for Speed Hot Pursuit 2,http://media.xfire.com/xfire/xf/images/icons/nfshp2.gif
nfs2se,Need for Speed II SE,http://media.xfire.com/xfire/xf/images/icons/nfs2se.gif
nfs3,Need for Speed III,http://media.xfire.com/xfire/xf/images/icons/nfs3.gif
nfsmw,Need for Speed Most Wanted,http://media.xfire.com/xfire/xf/images/icons/nfsmw.gif
nfspu,Need for Speed Porsche Unleashed,http://media.xfire.com/xfire/xf/images/icons/nfspu.gif
nfsu,Need For Speed Underground,http://media.xfire.com/xfire/xf/images/icons/nfsu.gif
nfsu2,Need for Speed Underground 2,http://media.xfire.com/xfire/xf/images/icons/nfsu2.gif
neocr2,Neocron 2,http://media.xfire.com/xfire/xf/images/icons/neocr2.gif
netgmn,NetGammon,http://media.xfire.com/xfire/xf/images/icons/netgmn.gif
nwn,Neverwinter Nights,http://media.xfire.com/xfire/xf/images/icons/nwn.gif
nwn2,Neverwinter Nights 2,http://media.xfire.com/xfire/xf/images/icons/nwn2.gif
nexus,Nexus - The Jupiter Incident,http://media.xfire.com/xfire/xf/images/icons/nexus.gif
nflhc,NFL Head Coach,http://media.xfire.com/xfire/xf/images/icons/nflhc.gif
nhl06,NHL 06,http://media.xfire.com/xfire/xf/images/icons/nhl06.gif
nhl2k5,NHL 2005,http://media.xfire.com/xfire/xf/images/icons/nhl2k5.gif
nhl07,NHL07,http://media.xfire.com/xfire/xf/images/icons/nhl07.gif
nolf,No One Lives Forever,http://media.xfire.com/xfire/xf/images/icons/nolf.gif
nolf2,No One Lives Forever 2,http://media.xfire.com/xfire/xf/images/icons/nolf2.gif
nox,Nox,http://media.xfire.com/xfire/xf/images/icons/nox.gif
nte,NTE,http://media.xfire.com/xfire/xf/images/icons/nte.gif
oblivion,Oblivion,http://media.xfire.com/xfire/xf/images/icons/oblivion.gif
oni3,Onimusha 3,http://media.xfire.com/xfire/xf/images/icons/oni3.gif
opflsh,Operation Flashpoint,http://media.xfire.com/xfire/xf/images/icons/opflsh.gif
opflshr,Operation Flashpoint Resistance,http://media.xfire.com/xfire/xf/images/icons/opflshr.gif
hlof15,Opposing Force 1.5,http://media.xfire.com/xfire/xf/images/icons/hlof15.gif
hlof,Opposing Force 1.6,http://media.xfire.com/xfire/xf/images/icons/hlof.gif
or06c2c,OutRun2006 Coast 2 Coast,http://media.xfire.com/xfire/xf/images/icons/or06c2c.gif
pnklr,Painkiller,http://media.xfire.com/xfire/xf/images/icons/pnklr.gif
pnklrboh,Painkiller Battle out of Hell,http://media.xfire.com/xfire/xf/images/icons/pnklrboh.gif
panzerc,Panzer Command,http://media.xfire.com/xfire/xf/images/icons/panzerc.gif
panzers,Panzers - Phase 1,http://media.xfire.com/xfire/xf/images/icons/panzers.gif
panzers2,Panzers - Phase 2,http://media.xfire.com/xfire/xf/images/icons/panzers2.gif
parpoker,Paradise Poker.com,http://media.xfire.com/xfire/xf/images/icons/parpoker.gif
paraw,Paraworld,http://media.xfire.com/xfire/xf/images/icons/paraw.gif
pariah,Pariah,http://media.xfire.com/xfire/xf/images/icons/pariah.gif
ppkr,PartyPoker.com,http://media.xfire.com/xfire/xf/images/icons/ppkr.gif
panuf,Patriots: A Nation Under Fire,http://media.xfire.com/xfire/xf/images/icons/panuf.gif
perim,Perimeter,http://media.xfire.com/xfire/xf/images/icons/perim.gif
perimet,Perimeter Emperor's Testament,http://media.xfire.com/xfire/xf/images/icons/perimet.gif
kkong,Peter Jackson's King Kong,http://media.xfire.com/xfire/xf/images/icons/kkong.gif
psu,Phantasy Star Universe Online,http://media.xfire.com/xfire/xf/images/icons/psu.gif
pharaoh,Pharaoh,http://media.xfire.com/xfire/xf/images/icons/pharaoh.gif
winpball,Pinball,http://media.xfire.com/xfire/xf/images/icons/winpball.gif
piratesotc,Pirates of the Caribbean,http://media.xfire.com/xfire/xf/images/icons/piratesotc.gif
pkpoker,PKR.com,http://media.xfire.com/xfire/xf/images/icons/pkpoker.gif
poa,Plan of Attack,http://media.xfire.com/xfire/xf/images/icons/poa.gif
ps,PlanetSide,http://media.xfire.com/xfire/xf/images/icons/ps.gif
playboy,Playboy - The Mansion,http://media.xfire.com/xfire/xf/images/icons/playboy.gif
proom,PokerRoom.com,http://media.xfire.com/xfire/xf/images/icons/proom.gif
pstars,PokerStars.com,http://media.xfire.com/xfire/xf/images/icons/pstars.gif
postal2,Postal 2 Share the Pain,http://media.xfire.com/xfire/xf/images/icons/postal2.gif
prey,Prey,http://media.xfire.com/xfire/xf/images/icons/prey.gif
preyd,Prey Demo,http://media.xfire.com/xfire/xf/images/icons/preyd.gif
pop,Prince of Persia - The Sands of Time,http://media.xfire.com/xfire/xf/images/icons/pop.gif
popttt,Prince of Persia The Two Thrones,http://media.xfire.com/xfire/xf/images/icons/popttt.gif
popww,Prince of Persia Warrior Within,http://media.xfire.com/xfire/xf/images/icons/popww.gif
poq,Prince of Qin Online,http://media.xfire.com/xfire/xf/images/icons/poq.gif
ptycoon,Prison Tycoon,http://media.xfire.com/xfire/xf/images/icons/ptycoon.gif
ptycoon2,Prison Tycoon 2,http://media.xfire.com/xfire/xf/images/icons/ptycoon2.gif
pstale,Priston Tale,http://media.xfire.com/xfire/xf/images/icons/pstale.gif
pes4,Pro Evolution Soccer 4,http://media.xfire.com/xfire/xf/images/icons/pes4.gif
pes5,Pro Evolution Soccer 5,http://media.xfire.com/xfire/xf/images/icons/pes5.gif
pes6,Pro Evolution Soccer 6,http://media.xfire.com/xfire/xf/images/icons/pes6.gif
psblindmp,Project Snowblind Multiplayer,http://media.xfire.com/xfire/xf/images/icons/psblindmp.gif
psblind,Project Snowblind Single Player,http://media.xfire.com/xfire/xf/images/icons/psblind.gif
proq,ProQuake,http://media.xfire.com/xfire/xf/images/icons/proq.gif
pnauts,Psychonauts,http://media.xfire.com/xfire/xf/images/icons/pnauts.gif
ptox,Psychotoxic,http://media.xfire.com/xfire/xf/images/icons/ptox.gif
quake4,Quake 4,http://media.xfire.com/xfire/xf/images/icons/quake4.gif
quake4dem,Quake 4 Demo,http://media.xfire.com/xfire/xf/images/icons/quake4dem.gif
q2,Quake II,http://media.xfire.com/xfire/xf/images/icons/q2.gif
q3,Quake III Arena,http://media.xfire.com/xfire/xf/images/icons/q3.gif
qwcl,QuakeWorld,http://media.xfire.com/xfire/xf/images/icons/qwcl.gif
rose,R.O.S.E. Online Evolution,http://media.xfire.com/xfire/xf/images/icons/rose.gif
rylna,R.Y.L. Path of the Emperor,http://media.xfire.com/xfire/xf/images/icons/rylna.gif
rdkungfu,Rag Doll Kung Fu,http://media.xfire.com/xfire/xf/images/icons/rdkungfu.gif
ragnrk,Ragnarok Online,http://media.xfire.com/xfire/xf/images/icons/ragnrk.gif
rrt3,Railroad Tycoon 3,http://media.xfire.com/xfire/xf/images/icons/rrt3.gif
rt2,Railroad Tycoon II,http://media.xfire.com/xfire/xf/images/icons/rt2.gif
rt2p,Railroad Tycoon II Platinum,http://media.xfire.com/xfire/xf/images/icons/rt2p.gif
r63as,Rainbow Six 3 - Athena Sword,http://media.xfire.com/xfire/xf/images/icons/r63as.gif
r6l,Rainbow Six Lockdown,http://media.xfire.com/xfire/xf/images/icons/r6l.gif
r6ld,Rainbow Six Lockdown Demo,http://media.xfire.com/xfire/xf/images/icons/r6ld.gif
rcf,Rakion Chaos Force,http://media.xfire.com/xfire/xf/images/icons/rcf.gif
rappelz,Rappelz Epic3,http://media.xfire.com/xfire/xf/images/icons/rappelz.gif
r63,Raven Shield,http://media.xfire.com/xfire/xf/images/icons/r63.gif
rfac,Red Faction,http://media.xfire.com/xfire/xf/images/icons/rfac.gif
rf2,Red Faction II,http://media.xfire.com/xfire/xf/images/icons/rf2.gif
utro,Red Orchestra,http://media.xfire.com/xfire/xf/images/icons/utro.gif
ros,Red Orchestra Ostfront 41-45 (Steam),http://media.xfire.com/xfire/xf/images/icons/ros.gif
resdogs,Reservoir Dogs,http://media.xfire.com/xfire/xf/images/icons/resdogs.gif
rtcwmp,Return to Castle Wolfenstein Multiplayer,http://media.xfire.com/xfire/xf/images/icons/rtcwmp.gif
rtcwsp,Return to Castle Wolfenstein Single Player,http://media.xfire.com/xfire/xf/images/icons/rtcwsp.gif
rfo,RF Online,http://media.xfire.com/xfire/xf/images/icons/rfo.gif
rbr,Richard Burns Rally,http://media.xfire.com/xfire/xf/images/icons/rbr.gif
hlr15,Ricochet 1.5,http://media.xfire.com/xfire/xf/images/icons/hlr15.gif
hlr,Ricochet 1.6,http://media.xfire.com/xfire/xf/images/icons/hlr.gif
rfcaw,Rise & Fall,http://media.xfire.com/xfire/xf/images/icons/rfcaw.gif
rol,Rise of Legends,http://media.xfire.com/xfire/xf/images/icons/rol.gif
ron,Rise of Nations,http://media.xfire.com/xfire/xf/images/icons/ron.gif
rontp,Rise of Nations - Thrones & Patriots,http://media.xfire.com/xfire/xf/images/icons/rontp.gif
risk2,Risk II,http://media.xfire.com/xfire/xf/images/icons/risk2.gif
ryl,Risk Your Life,http://media.xfire.com/xfire/xf/images/icons/ryl.gif
riven,Riven,http://media.xfire.com/xfire/xf/images/icons/riven.gif
rosp,Rogue Spear,http://media.xfire.com/xfire/xf/images/icons/rosp.gif
rospuo,Rogue Spear - Urban Operations,http://media.xfire.com/xfire/xf/images/icons/rospuo.gif
swrs,Rogue Squadron,http://media.xfire.com/xfire/xf/images/icons/swrs.gif
roguet,Rogue Trooper,http://media.xfire.com/xfire/xf/images/icons/roguet.gif
rct,Rollercoaster Tycoon,http://media.xfire.com/xfire/xf/images/icons/rct.gif
rct2,RollerCoaster Tycoon 2,http://media.xfire.com/xfire/xf/images/icons/rct2.gif
rct3,RollerCoaster Tycoon 3,http://media.xfire.com/xfire/xf/images/icons/rct3.gif
rct3s,RollerCoaster Tycoon 3 Soaked,http://media.xfire.com/xfire/xf/images/icons/rct3s.gif
rct3w,RollerCoaster Tycoon 3 Wild,http://media.xfire.com/xfire/xf/images/icons/rct3w.gif
rtwbi,Rome - Barbarian Invasion,http://media.xfire.com/xfire/xf/images/icons/rtwbi.gif
rtw,Rome - Total War,http://media.xfire.com/xfire/xf/images/icons/rtw.gif
roe,Rubies of Eventide,http://media.xfire.com/xfire/xf/images/icons/roe.gif
rune,Rune,http://media.xfire.com/xfire/xf/images/icons/rune.gif
rfb,Rush For Berlin,http://media.xfire.com/xfire/xf/images/icons/rfb.gif
sacred,Sacred,http://media.xfire.com/xfire/xf/images/icons/sacred.gif
sacredu,Sacred Underworld,http://media.xfire.com/xfire/xf/images/icons/sacredu.gif
sfice,Sacrifice,http://media.xfire.com/xfire/xf/images/icons/sfice.gif
utsas,SAS Into the Lion's Den,http://media.xfire.com/xfire/xf/images/icons/utsas.gif
sav,Savage: The Battle for Newerth,http://media.xfire.com/xfire/xf/images/icons/sav.gif
savdem,Savage: The Battle for Newerth DEMO 2.0,http://media.xfire.com/xfire/xf/images/icons/savdem.gif
sface,Scarface,http://media.xfire.com/xfire/xf/images/icons/sface.gif
schtcoon,School Tycoon,http://media.xfire.com/xfire/xf/images/icons/schtcoon.gif
scrap,Scrapland,http://media.xfire.com/xfire/xf/images/icons/scrap.gif
sl,Second Life,http://media.xfire.com/xfire/xf/images/icons/sl.gif
ssam,Serious Sam,http://media.xfire.com/xfire/xf/images/icons/ssam.gif
ssse,Serious Sam - The Second Encounter,http://media.xfire.com/xfire/xf/images/icons/ssse.gif
ssam2,Serious Sam 2,http://media.xfire.com/xfire/xf/images/icons/ssam2.gif
ss2d,Serious Sam 2 Demo,http://media.xfire.com/xfire/xf/images/icons/ss2d.gif
sbane,Shadowbane,http://media.xfire.com/xfire/xf/images/icons/sbane.gif
shadowg,Shadowgrounds,http://media.xfire.com/xfire/xf/images/icons/shadowg.gif
shgal,Shattered Galaxy,http://media.xfire.com/xfire/xf/images/icons/shgal.gif
su,Shattered Union,http://media.xfire.com/xfire/xf/images/icons/su.gif
ssn67,ShellShock Nam67,http://media.xfire.com/xfire/xf/images/icons/ssn67.gif
shoto,Shot Online,http://media.xfire.com/xfire/xf/images/icons/shoto.gif
smac,Sid Meier's Alpha Centauri,http://media.xfire.com/xfire/xf/images/icons/smac.gif
smp,Sid Meier's Pirates!,http://media.xfire.com/xfire/xf/images/icons/smp.gif
smrr,Sid Meier's Railroads,http://media.xfire.com/xfire/xf/images/icons/smrr.gif
shill2,Silent Hill 2,http://media.xfire.com/xfire/xf/images/icons/shill2.gif
shill3,Silent Hill 3,http://media.xfire.com/xfire/xf/images/icons/shill3.gif
shill4,Silent Hill 4,http://media.xfire.com/xfire/xf/images/icons/shill4.gif
sh3,Silent Hunter III,http://media.xfire.com/xfire/xf/images/icons/sh3.gif
s2,Silent Storm,http://media.xfire.com/xfire/xf/images/icons/s2.gif
sro,Silkroad Online,http://media.xfire.com/xfire/xf/images/icons/sro.gif
sc3,SimCity 3000,http://media.xfire.com/xfire/xf/images/icons/sc3.gif
sc3u,SimCity 3000 Unlimited,http://media.xfire.com/xfire/xf/images/icons/sc3u.gif
simc4,SimCity 4,http://media.xfire.com/xfire/xf/images/icons/simc4.gif
sins,Sin (Steam),http://media.xfire.com/xfire/xf/images/icons/sins.gif
sine1,Sin Episodes - Emergence,http://media.xfire.com/xfire/xf/images/icons/sine1.gif
sinmps,Sin Multiplayer (Steam),http://media.xfire.com/xfire/xf/images/icons/sinmps.gif
skillground,SkillGround.com,http://media.xfire.com/xfire/xf/images/icons/skillground.gif
snipere,Sniper Elite,http://media.xfire.com/xfire/xf/images/icons/snipere.gif
soldat,Soldat,http://media.xfire.com/xfire/xf/images/icons/soldat.gif
sfront,Soldier Front,http://media.xfire.com/xfire/xf/images/icons/sfront.gif
sof,Soldier of Fortune,http://media.xfire.com/xfire/xf/images/icons/sof.gif
sof2mp,Soldier of Fortune II Multiplayer,http://media.xfire.com/xfire/xf/images/icons/sof2mp.gif
sof2sp,Soldier of Fortune II Single Player,http://media.xfire.com/xfire/xf/images/icons/sof2sp.gif
soldiers,Soldiers - Heroes of World War II,http://media.xfire.com/xfire/xf/images/icons/soldiers.gif
soldner,Soldner - Secret Wars,http://media.xfire.com/xfire/xf/images/icons/soldner.gif
sold,Soldner Beta Demo,http://media.xfire.com/xfire/xf/images/icons/sold.gif
winsol,Solitaire,http://media.xfire.com/xfire/xf/images/icons/winsol.gif
sonich,Sonic Heroes,http://media.xfire.com/xfire/xf/images/icons/sonich.gif
sonicr,Sonic Riders,http://media.xfire.com/xfire/xf/images/icons/sonicr.gif
hl2sdk,Source SDK Base,http://media.xfire.com/xfire/xf/images/icons/hl2sdk.gif
hl2sf,Sourceforts,http://media.xfire.com/xfire/xf/images/icons/hl2sf.gif
se4dlx,Space Empires IV Deluxe,http://media.xfire.com/xfire/xf/images/icons/se4dlx.gif
se5,Space Empires V,http://media.xfire.com/xfire/xf/images/icons/se5.gif
srangers2,Space Rangers 2,http://media.xfire.com/xfire/xf/images/icons/srangers2.gif
spacecow,SpaceCowboy,http://media.xfire.com/xfire/xf/images/icons/spacecow.gif
spartan,Spartan,http://media.xfire.com/xfire/xf/images/icons/spartan.gif
sforce,SpellForce - The Order of Dawn,http://media.xfire.com/xfire/xf/images/icons/sforce.gif
sforce2,SpellForce2 - Shadow Wars,http://media.xfire.com/xfire/xf/images/icons/sforce2.gif
winspdr,Spider Solitaire,http://media.xfire.com/xfire/xf/images/icons/winspdr.gif
spcell,Splinter Cell,http://media.xfire.com/xfire/xf/images/icons/spcell.gif
scctmp,Splinter Cell Chaos Theory Multiplayer,http://media.xfire.com/xfire/xf/images/icons/scctmp.gif
scctsp,Splinter Cell Chaos Theory Single Player,http://media.xfire.com/xfire/xf/images/icons/scctsp.gif
scctspd,Splinter Cell Chaos Theory Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/scctspd.gif
scctvb,Splinter Cell Chaos Theory Versus Beta,http://media.xfire.com/xfire/xf/images/icons/scctvb.gif
